npm error code ENOENT
npm error syscall open
npm error path /app/package.json
npm error errno -2
npm error enoent Could not read package.json: Error: ENOENT: no such file or directory, open '/app/package.json'
npm error enoent This is related to npm not being able to find a file.
npm error enoent
npm error A complete log of this run can be found in: /home/jules/.npm/_logs/2026-05-13T12_45_36_850Z-debug-0.log
127.0.0.1 - - [13/May/2026 12:45:41] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /ui/ui.controls.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /ui/ui.render.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /ui/ui.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /ui/ui.messages.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /engine/engine.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /engine/engine.contrast.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /engine/engine.core.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /engine/engine.palettes.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /engine/engine.accessibility.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:46:25] "GET /engine/engine.scales.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /ui/ui.controls.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /ui/ui.messages.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /ui/ui.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /ui/ui.render.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /engine/engine.core.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /engine/engine.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /engine/engine.scales.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /engine/engine.palettes.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /engine/engine.accessibility.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:53:21] "GET /engine/engine.contrast.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /ui/ui.controls.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /ui/ui.render.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /ui/ui.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /ui/ui.messages.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /engine/engine.core.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /engine/engine.contrast.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /engine/engine.scales.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /engine/engine.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /engine/engine.palettes.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:55:21] "GET /engine/engine.accessibility.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /ui/ui.controls.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /ui/ui.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /ui/ui.render.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /ui/ui.messages.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /engine/engine.accessibility.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /engine/engine.scales.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /engine/engine.core.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /engine/engine.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /engine/engine.palettes.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:56:39] "GET /engine/engine.contrast.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /ui/ui.controls.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /ui/ui.render.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /ui/ui.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /ui/ui.messages.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /engine/engine.core.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /engine/engine.palettes.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /engine/engine.accessibility.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /engine/engine.gradients.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /engine/engine.scales.js HTTP/1.1" 200 -
127.0.0.1 - - [13/May/2026 12:57:30] "GET /engine/engine.contrast.js HTTP/1.1" 200 -
